"investorTimes","investorDirections"
539,1
3211,1
5274,0
5733,0
6112,1
7179,1
13412,1
13543,0
13928,1
17912,0
19616,1
20367,1
25536,1
26338,0
32204,0
40463,1
42038,0
44132,1
44582,1
51494,1
56556,1
57609,0
58507,0
66788,0
76356,1
83387,0
83849,1
87580,1
87946,1
88006,0
89527,1
90033,1
95480,0
99088,0
99475,1
99653,0
101763,1
101887,0
106299,0
108722,1
109218,0
111662,1
119860,0
122121,1
127040,0
127226,1
128115,1
130063,1
130753,1
139482,0
141413,1
146707,0
148734,1
150454,0
151146,0
156210,1
159745,1
162360,1
167687,1
170241,0
172668,1
183675,0
187179,0
187901,1
188734,1
190247,0
191288,0
199931,1
201633,1
201926,1
207576,1
208352,0
211821,1
214599,1
214603,0
215442,0
215757,0
218329,0
225834,1
226113,0
226945,1
236582,1
244604,1
245674,1
247153,0
247371,1
247884,0
248831,1
253480,1
257737,0
258592,0
262392,1
265081,1
267143,0
267362,0
270059,1
273007,0
273769,1
283858,0
284003,1
290407,0
293071,1
293764,0
294429,1
